doc_id, a_name, avg annotation too long, annotation too long, length of non-highlighted portion too long, not enough words highlighted 
161, 'A2R07W1GEVTICX', 0, 0, 0, 0
161, 'A315YOD1CJYCFJ', 0, 0, 0, 0
161, 'A3HNWWJXMDLM8L', 1, 0, 0, 0
161, 'ANJ9V1S2RYOE8', 0, 0, 0, 0
163, 'A1SNF5XJQ0205C', 0, 0, 0, 0
163, 'A207IHY6GERCFO', 1, 0, 0, 0
163, 'A28V5XY8A0R6Q5', 0, 0, 0, 0
163, 'A2D53MXGGGYMZD', 1, 0, 1, 1
163, 'A39UWTSPMRRYWU', 1, 0, 0, 0
166, 'A1JFZ5EX06Y8YV', 0, 0, 0, 0
166, 'A207IHY6GERCFO', 0, 0, 0, 0
166, 'A24EAYGSHOXEGP', 1, 0, 0, 0
166, 'A2HR7ZIX42FEPG', 0, 0, 1, 0
166, 'A2R07W1GEVTICX', 0, 0, 0, 0
166, 'A3LXJK3LTM4J2E', 1, 0, 0, 0
166, 'AZBM5GUEV7N77', 0, 0, 1, 0
174, 'A1JFZ5EX06Y8YV', 0, 0, 0, 0
174, 'A207IHY6GERCFO', 1, 0, 0, 0
174, 'A24EAYGSHOXEGP', 1, 0, 0, 0
174, 'A274NFT93QPBGL', 0, 0, 0, 0
174, 'A2R07W1GEVTICX', 0, 0, 0, 0
174, 'A3HNWWJXMDLM8L', 1, 0, 1, 0
174, 'AACD3MXKVW9VJ', 0, 0, 0, 0
175, 'A1DJDT4B5B19Q2', 0, 0, 0, 0
175, 'A1OF4LT1OZYTDN', 0, 0, 0, 0
175, 'A1UTBDKOQ2MKUD', 0, 0, 0, 0
175, 'A24EAYGSHOXEGP', 1, 0, 0, 0
175, 'A7FXMQPKWFFP5', 0, 0, 0, 0
